172.118.107.0  -  cpe-172-118-107-0.socal.res.rr.com (Charter Communications) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36] 
125.81.165.70  -  125.81.165.70 (ChinaNet) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1] 
115.38.162.203  -  115-38-162-203.shizuoka1.commufa.jp (Chubu Telecommunications Co.,Inc.) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
1.72.6.178  -  sp1-72-6-178.msc.spmode.ne.jp (NTT DoCoMo, Inc.) >> [Japan | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.0.0; SO-01K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36] 
60.46.235.27  -  i60-46-235-27.s41.a043.ap.plala.or.jp (NTT Communications Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
183.76.65.53  -  ab065053.dynamic.ppp.asahi-net.or.jp (ASAHI Net,Inc.) >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.56] 
183.76.65.53  -  ab065053.dynamic.ppp.asahi-net.or.jp (ASAHI Net,Inc.) >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.56] 
183.76.65.53  -  ab065053.dynamic.ppp.asahi-net.or.jp (ASAHI Net,Inc.) >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.56] 
182.251.153.69  -  KD182251153069.au-net.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
126.33.16.126  -  pw126033016126.23.panda-world.ne.jp (Japan Nation-wide Network of Softbank Corp.) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
65.182.244.77  -  65.182.244.77 (Canby Telephone Association) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
65.182.244.77  -  65.182.244.77 (Canby Telephone Association) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
106.180.49.47  -  KD106180049047.au-net.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1] 
65.182.244.77  -  65.182.244.77 (Canby Telephone Association) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
154.223.57.80  -  154.223.57.80 (Internet Keeper Global (Group) Co., Limited) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
106.180.49.47  -  KD106180049047.au-net.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1] 
154.223.57.80  -  154.223.57.80 (Internet Keeper Global (Group) Co., Limited) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
112.224.67.37  -  112.224.67.37 (China Unicom) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
106.180.49.47  -  KD106180049047.au-net.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1] 
117.136.30.155  -  117.136.30.155 (China Mobile Communications Corporation) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1] 
210.250.142.50  -  zz2017413953D2FA8E32.userreverse.dion.ne.jp (Kddi Corporation) >> [Japan | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.0.0; SO-01K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36] 
114.18.101.17  -  KD114018101017.ppp-bb.dion.ne.jp (Kddi Corporation) >> [Japan | Mac OS X | Safari | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15] 
43.232.221.10  -  43x232x221x10.ap43.ftth.ucom.ne.jp (ARTERIA Networks Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
43.232.221.10  -  43x232x221x10.ap43.ftth.ucom.ne.jp (ARTERIA Networks Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
118.4.47.204  -  p178204-ipngn200404niho.hiroshima.ocn.ne.jp (NTT Communications Corporation) >> [Japan | Mac OS X | Safari | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15] 
118.4.47.204  -  p178204-ipngn200404niho.hiroshima.ocn.ne.jp (NTT Communications Corporation) >> [Japan | Mac OS X | Safari | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15] 
49.98.154.204  -  sp49-98-154-204.msd.spmode.ne.jp (NTT DoCoMo, Inc.) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
125.81.165.70  -  125.81.165.70 (ChinaNet) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1] 
125.81.165.70  -  125.81.165.70 (ChinaNet) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1] 
126.199.140.191  -  pw126199140191.18.panda-world.ne.jp (Japan Nation-wide Network of Softbank Corp.) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
73.48.181.214  -  c-73-48-181-214.hsd1.ca.comcast.net (Comcast Cable Communications, LLC) >> [United States | Windows 10 | Firefox | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0] 
114.18.65.90  -  KD114018065090.ppp-bb.dion.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
193.31.121.158  -  193.31.121.158 (Stumpner Netservice UG (haftungsbeschraenkt)) >> [Japan | Windows 7 | Chrome | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36] 
114.18.65.90  -  KD114018065090.ppp-bb.dion.ne.jp (Kddi Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
113.36.237.129  -  113x36x237x129.ap113.ftth.ucom.ne.jp (ARTERIA Networks Corporation) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1] 
114.177.102.139  -  p1641140-ipoe.ipoe.ocn.ne.jp (NTT Communications Corporation) >> [Japan | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 10; MAR-LX2J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36] 
114.177.102.139  -  p1641140-ipoe.ipoe.ocn.ne.jp (NTT Communications Corporation) >> [Japan | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 10; MAR-LX2J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36] 
66.153.217.170  -  mail.corthopedics.com (Coastal Orthopaedic Mri -) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
160.13.148.53  -  53.148.13.160.dy.iij4u.or.jp (Internet Initiative Japan Inc.) >> [Japan | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
66.153.217.173  -  173.217-net.sccoast.net (Coastal Orthopaedic Mri -) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
106.51.113.228  -  broadband.actcorp.in (Atria Convergence Technologies Pvt. Ltd.  Broadband Internet Service Provider INDIA) >> [India | Windows 8.1 | Chrome | Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36] 
82.102.19.136  -  82.102.19.136 (M247 Ltd) >> [Belgium | Mac OS X | Chrome | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36] 
188.213.215.23  -  188.213.215.23 (Proper Support LLP) >> [United Kingdom | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0] 
72.136.65.191  -  CPEa84e3ff97e33-CMa84e3ff97e30.cpe.net.fido.ca (Rogers Communications) >> [Canada | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1] 
73.177.224.33  -  c-73-177-224-33.hsd1.va.comcast.net (Comcast Cable Communications, LLC) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
47.39.83.143  -  047-039-083-143.res.spectrum.com (Charter Communications) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
45.37.224.202  -  cpe-45-37-224-202.nc.res.rr.com (Charter Communications) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
66.153.185.230  -  230.185-available-ethint-fratm-cc.sccoast.net (Horry Telephone Cooperative, Inc.) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
70.224.18.164  -  70-224-18-164.lightspeed.milwwi.sbcglobal.net (AT&T Corp.) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
70.184.151.126  -  wsip-70-184-151-126.rn.hr.cox.net (Cox Communications Inc.) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
69.232.41.115  -  69.232.41.115 (AT&T Corp.) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1] 
45.40.122.115  -  ns113.binarysecure.trade (My247Webhosting LLC) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
191.96.41.74  -  191.96.41.74 (www.heficed.com) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
181.215.151.32  -  181.215.151.32 (www.heficed.com) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
67.137.36.66  -  67.137.36.66 (Allstream Business US, LLC) >> [United States | Mac OS X | Chrome | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36] 
191.96.84.128  -  191.96.84.128 (Digital Energy Technologies Chile SpA) >> [United States | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1] 
62.189.162.58  -  h62-189-162-58.ptr.roamsite.com (Verizon Business) >> [United Kingdom | Mac OS X | Firefox | Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3] 
67.137.36.66  -  67.137.36.66 (Allstream Business US, LLC) >> [United States | Mac OS X | Chrome | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36] 
174.74.140.82  -  ip174-74-140-82.ph.ph.cox.net (Cox Communications Inc.) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
174.74.140.82  -  ip174-74-140-82.ph.ph.cox.net (Cox Communications Inc.) >> [United States | Windows 10 | Firefox | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0] 
174.74.140.82  -  ip174-74-140-82.ph.ph.cox.net (Cox Communications Inc.) >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
47.75.104.255  -  47.75.104.255 (Alicloud-hk) >> [Hong Kong | Mac OS X | Chrome | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
125.81.163.214  -  125.81.163.214 (ChinaNet) >> [China | iPhone | Handheld Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1] 
47.75.104.255  -  47.75.104.255 (Alicloud-hk) >> [Hong Kong | Mac OS X | Chrome | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36] 
52.253.96.209  -  52.253.96.209 () >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
52.253.96.209  -  52.253.96.209 () >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
98.126.213.16  -  customer.krypt.com () >> [United States | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
52.141.3.20  -  52.141.3.20 () >> [South Korea | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
52.141.3.20  -  52.141.3.20 () >> [South Korea | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
52.253.96.209  -  52.253.96.209 () >> [Japan | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36] 
  -  localhost () >> [Poland | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
  -  localhost () >> [Poland | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
  -  localhost () >> [Poland | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
  -  localhost () >> [ | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
  -  localhost (None) >> [ | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
  -  localhost (None) >> [ | Ubuntu | Firefox | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0] 
